run,total,proton,electron,gamma,pion,muon,kaon,other,photons
1,11130,117,60,8769,9,0,7,2168,0
2,12022,115,89,9534,7,0,6,2271,0
3,12838,116,72,10457,16,0,6,2171,0
4,11468,132,64,9039,14,0,10,2209,0
5,10768,91,80,8445,11,0,8,2133,0
6,12902,139,75,10384,11,0,5,2288,0
7,12103,105,76,9795,9,0,8,2110,0
8,11466,127,63,9229,7,0,10,2030,0
9,12247,117,82,9889,11,0,9,2139,0
10,11247,132,62,8874,14,0,6,2159,0
Total,118191,1191,723,94415,109,0,75,21678,0
Average,11819,119,72,9441,10,0,7,2167,0
Per Proton,1,0,0,0,0,0,,0,0
