event,track,particle,tungsten_entry,tungsten_exit,sc1_entry,sc1_exit,sc2_entry,sc2_exit,sc3_entry,sc3_exit
1,1,proton,1,1,1,1,1,1,1,1
1,3,e-,0,0,0,0,0,1,0,0
2,1,proton,1,1,1,1,1,1,1,1
3,1,proton,1,1,1,1,1,1,1,1
4,1,proton,1,1,1,1,1,1,1,1
5,1,proton,1,1,1,1,1,1,1,0
5,3,e-,0,0,0,1,0,0,0,0
6,1,proton,1,1,1,1,1,1,1,1
7,1,proton,1,1,1,1,1,1,1,1
8,1,proton,1,1,1,1,1,1,1,1
8,3,e-,0,1,0,0,0,0,0,0
9,1,proton,1,1,1,1,1,1,1,1
10,1,proton,1,1,1,1,1,1,1,1
10,3,e-,0,0,0,1,0,0,0,0
11,1,proton,1,1,1,1,1,1,1,1
12,1,proton,1,1,1,1,1,1,1,1
12,4,e-,0,0,0,0,0,1,0,0
13,1,proton,1,1,1,1,1,1,1,1
13,3,e-,0,0,0,0,0,1,1,0
14,1,proton,1,1,1,1,1,1,1,1
14,5,e-,0,0,0,1,0,0,0,0
15,1,proton,1,1,1,1,1,1,1,1
16,1,proton,1,1,1,1,1,1,1,1
17,1,proton,1,1,1,1,1,1,1,1
18,1,proton,1,1,1,1,1,1,1,1
18,4,e-,0,0,0,0,0,0,1,0
19,1,proton,1,1,1,1,1,1,1,1
20,1,proton,1,1,1,1,1,1,1,1
21,1,proton,1,1,1,1,1,1,1,0
22,1,proton,1,1,1,1,1,1,1,1
23,1,proton,1,1,1,1,1,1,1,1
24,1,proton,1,1,1,1,1,1,1,1
24,3,e-,0,0,0,0,0,0,0,1
25,1,proton,1,1,1,1,1,1,1,1
26,1,proton,1,1,1,1,1,1,1,1
27,1,proton,1,1,1,1,1,1,1,1
28,1,proton,1,1,1,1,1,1,1,1
28,5,e-,0,0,0,0,0,0,0,1
29,1,proton,1,1,1,1,1,1,1,1
30,1,proton,1,1,1,1,1,1,1,0
31,1,proton,1,1,1,1,1,1,1,1
32,1,proton,1,1,1,1,1,1,1,1
33,1,proton,1,1,1,1,1,1,1,1
34,1,proton,1,1,1,1,1,1,1,1
35,1,proton,1,1,1,1,1,1,1,1
36,1,proton,1,1,1,1,1,1,1,1
37,1,proton,1,1,1,1,1,1,1,1
38,1,proton,1,1,1,1,1,1,1,1
39,1,proton,1,1,1,1,1,1,1,1
40,1,proton,1,1,1,1,1,1,1,1
41,1,proton,1,1,1,1,1,1,1,1
42,1,proton,1,1,1,1,1,1,1,1
42,7,e-,0,0,0,0,0,0,0,1
43,1,proton,1,1,1,1,1,1,1,1
43,2,e-,0,1,0,0,0,0,0,0
44,1,proton,1,1,1,1,1,1,1,1
45,1,proton,1,1,1,1,1,1,1,1
46,1,proton,1,1,1,1,1,1,1,0
47,1,proton,1,1,1,1,1,1,1,0
48,1,proton,1,1,1,1,1,1,1,1
49,1,proton,1,1,1,1,1,1,1,1
50,1,proton,1,1,1,1,1,1,1,1
51,1,proton,1,1,1,1,1,1,1,0
52,1,proton,1,1,1,1,1,1,1,1
53,1,proton,1,1,1,1,1,1,1,0
53,6,gamma,0,0,0,1,1,1,1,1
54,1,proton,1,1,1,1,1,1,1,1
55,1,proton,1,1,1,1,1,1,1,1
56,1,proton,1,1,1,1,1,1,1,1
57,1,proton,1,1,1,1,1,1,1,1
58,1,proton,1,1,1,1,1,1,1,1
59,1,proton,1,1,1,0,0,0,0,0
59,2,neutron,0,0,0,1,1,1,1,0
59,4,deuteron,0,0,0,1,0,0,0,0
60,1,proton,1,1,1,1,1,1,1,1
60,4,e-,0,0,0,0,0,1,0,0
61,1,proton,1,1,1,1,1,1,1,1
61,6,e-,0,0,0,0,0,0,1,0
61,7,e-,0,0,0,0,0,0,0,1
62,1,proton,1,1,1,1,1,1,1,1
63,1,proton,1,1,1,1,1,1,1,1
64,1,proton,1,1,1,1,1,1,1,0
65,1,proton,1,1,1,1,1,1,1,1
66,1,proton,1,1,1,1,1,1,1,1
