event,track,particle,d1,d2,d3
0,0,null,0,0,0
1,1,primary_proton,1,1,1
2,17,pi-,1,1,1
3,3439,pi-,1,1,0
4,3,secondary_proton,1,1,1
5,1,primary_proton,1,1,1
6,1,primary_proton,1,1,1
7,15428,e-,0,0,1
8,5656,pi+,1,1,1
9,1,primary_proton,1,1,1
10,1,primary_proton,1,1,1
11,10,pi+,1,1,1
12,0,null,0,0,0
13,147,secondary_proton,1,1,1
14,1,primary_proton,1,1,1
15,27,secondary_proton,1,1,1
16,0,null,0,0,0
17,1366,pi+,1,0,0
18,6130,pi-,1,1,1
19,1,primary_proton,1,1,1
20,8,pi+,1,1,1
21,1,primary_proton,1,1,1
22,9,pi-,1,1,0
23,21,kaon+,1,0,0
24,951,pi+,1,1,1
25,1,primary_proton,1,1,1
26,2,secondary_proton,1,1,1
27,13,pi-,1,1,1
28,13,pi-,1,1,0
29,4,pi-,1,1,1
30,10,pi-,1,1,1
31,10,secondary_proton,1,1,1
32,0,null,0,0,0
33,0,null,0,0,0
34,0,null,0,0,0
35,7,pi-,1,1,1
36,11,kaon+,1,1,1
37,20,secondary_proton,1,1,1
38,2720,e-,1,1,1
39,7,secondary_proton,1,1,0
40,3247,e-,1,1,0
41,1,primary_proton,1,1,1
42,6,secondary_proton,1,1,1
43,5780,pi-,1,1,0
44,7,secondary_proton,1,1,1
45,779,pi+,1,0,0
46,1,primary_proton,1,1,1
47,10,pi-,1,1,1
48,24,pi+,1,1,0
49,14,secondary_proton,1,1,0
50,0,null,0,0,0
51,6,pi+,1,1,1
52,1,primary_proton,1,1,1
53,9493,e-,1,0,0
54,10289,pi+,1,1,1
55,14,pi-,1,1,1
56,1,primary_proton,1,1,1
57,10,secondary_proton,1,1,1
58,2432,secondary_proton,1,0,0
59,11,pi-,1,1,1
60,0,null,0,0,0
61,16,pi+,1,1,1
62,4006,pi+,1,1,1
63,2940,e-,1,1,1
64,16838,e-,1,1,0
65,1,primary_proton,1,1,1
66,1,primary_proton,1,1,1
67,22,pi+,1,1,1
68,9,pi-,1,1,1
69,9,secondary_proton,1,1,0
210,16,secondary_proton,1,1,1
211,0,null,0,0,0
212,6,secondary_proton,1,1,1
213,6833,pi+,1,1,1
214,18,pi+,1,1,1
215,0,null,0,0,0
216,7,secondary_proton,1,1,1
217,1,primary_proton,1,1,1
218,1045,e-,1,1,1
219,6732,pi-,1,1,1
220,4136,e-,1,0,0
221,1,primary_proton,1,1,1
222,12,secondary_proton,1,1,1
223,23,secondary_proton,1,1,1
224,12,pi+,1,1,0
225,3,secondary_proton,1,1,1
226,0,null,0,0,0
227,12034,secondary_proton,1,0,0
228,17,pi+,1,0,0
229,0,null,0,0,0
230,15,pi+,1,1,1
231,14,secondary_proton,1,1,1
232,12,pi-,1,1,0
233,3117,pi-,1,1,1
234,10787,e-,1,1,0
235,41,pi-,1,1,0
236,13,secondary_proton,1,1,1
237,1,primary_proton,1,1,1
238,10,pi-,1,1,1
239,4,secondary_proton,1,1,0
240,5955,e-,1,1,1
241,11,pi+,1,1,0
242,4,secondary_proton,1,1,1
243,0,null,0,0,0
244,6,secondary_proton,1,1,1
245,5,pi-,1,1,1
246,730,pi+,1,0,0
247,1,primary_proton,1,1,1
248,11,secondary_proton,1,1,1
249,8,secondary_proton,1,1,1
250,244,pi-,1,1,0
251,10,kaon+,1,1,1
252,16,secondary_proton,1,1,1
253,1519,secondary_proton,1,1,1
254,0,null,0,0,0
255,16,secondary_proton,1,1,1
256,4934,secondary_proton,1,0,0
257,13,pi+,1,1,1
258,10,pi+,1,1,1
259,4043,e-,0,1,0
260,1,primary_proton,1,1,1
261,0,null,0,0,0
262,1,primary_proton,1,1,1
263,8,secondary_proton,1,1,1
264,25,pi+,1,1,1
265,7,pi-,1,1,1
266,251,secondary_proton,1,1,1
267,14,pi-,1,1,0
268,2503,secondary_proton,1,0,0
269,1,primary_proton,1,1,1
270,19,secondary_proton,1,1,1
271,17,secondary_proton,1,1,1
272,16,secondary_proton,1,1,1
273,21,pi+,1,1,1
274,0,null,0,0,0
275,18,pi+,1,1,1
276,1,primary_proton,1,1,1
277,9,pi+,1,1,1
278,1,primary_proton,1,1,1
279,22,pi-,1,1,1
280,0,null,0,0,0
281,332,e-,1,0,0
282,0,null,0,0,0
283,1,primary_proton,1,1,1
284,1,primary_proton,1,1,1
285,0,null,0,0,0
286,31,pi+,1,1,1
287,0,null,0,0,0
288,10,pi-,1,1,1
289,33,pi+,1,1,0
290,0,null,0,0,0
291,5,pi-,1,1,1
292,18,pi-,1,1,1
293,8,pi-,1,1,0
294,5,pi+,1,1,1
295,2152,mu+,1,1,1
296,0,null,0,0,0
297,1,primary_proton,1,1,1
298,7,secondary_proton,1,1,1
299,0,null,0,0,0
300,1,primary_proton,1,1,1
301,15,secondary_proton,1,1,1
302,0,null,0,0,0
303,12,kaon-,1,0,0
304,12,pi-,1,1,1
305,11,pi-,1,1,1
306,15,pi-,1,1,1
