event,track,particle,d1,d2,d3
0,0,null,0,0,0
1,1217,e-,1,0,0
2,0,null,0,0,0
3,753,e+,1,0,0
4,0,null,0,0,0
5,0,null,0,0,0
6,0,null,0,0,0
7,8,secondary_proton,1,0,0
8,1,primary_proton,1,1,1
9,0,null,0,0,0
10,0,null,0,0,0
11,3,pi+,1,1,0
12,0,null,0,0,0
13,0,null,0,0,0
14,1,primary_proton,1,1,1
15,0,null,0,0,0
16,0,null,0,0,0
17,0,null,0,0,0
18,0,null,0,0,0
19,0,null,0,0,0
20,0,null,0,0,0
21,9,pi+,1,0,0
22,0,null,0,0,0
23,1,primary_proton,1,1,1
24,0,null,0,0,0
25,0,null,0,0,0
26,0,null,0,0,0
27,1,primary_proton,1,1,1
28,0,null,0,0,0
29,0,null,0,0,0
30,1,primary_proton,1,1,0
31,1,primary_proton,1,1,0
32,4,secondary_proton,1,1,1
33,11,secondary_proton,1,1,1
34,156,e-,1,0,0
35,0,null,0,0,0
36,0,null,0,0,0
37,0,null,0,0,0
38,0,null,0,0,0
39,0,null,0,0,0
40,8,secondary_proton,1,0,0
41,0,null,0,0,0
42,15,secondary_proton,1,1,0
43,0,null,0,0,0
44,0,null,0,0,0
45,0,null,0,0,0
46,1,primary_proton,1,1,1
47,0,null,0,0,0
48,1,primary_proton,1,1,1
49,0,null,0,0,0
50,0,null,0,0,0
51,0,null,0,0,0
52,9,secondary_proton,1,1,0
53,0,null,0,0,0
54,0,null,0,0,0
55,1,primary_proton,1,1,1
56,7,secondary_proton,1,1,0
57,0,null,0,0,0
58,1,primary_proton,1,1,1
59,0,null,0,0,0
60,5,secondary_proton,1,1,0
61,0,null,0,0,0
62,0,null,0,0,0
63,14,pi-,1,0,0
64,1,primary_proton,1,1,1
65,0,null,0,0,0
66,0,null,0,0,0
67,1,primary_proton,1,1,1
68,0,null,0,0,0
69,0,null,0,0,0
70,1,primary_proton,1,1,1
71,1,primary_proton,1,1,1
72,0,null,0,0,0
73,0,null,0,0,0
74,0,null,0,0,0
75,0,null,0,0,0
76,0,null,0,0,0
77,85,secondary_proton,1,0,0
78,0,null,0,0,0
79,1,primary_proton,1,1,1
80,0,null,0,0,0
81,5,secondary_proton,1,1,0
82,0,null,0,0,0
83,1,primary_proton,1,1,1
84,0,null,0,0,0
85,1,primary_proton,1,1,1
86,0,null,0,0,0
87,0,null,0,0,0
88,0,null,0,0,0
89,0,null,0,0,0
90,1,primary_proton,1,1,1
91,0,null,0,0,0
92,1,primary_proton,1,1,1
93,0,null,0,0,0
94,0,null,0,0,0
95,1,primary_proton,1,1,1
96,0,null,0,0,0
97,0,null,0,0,0
98,0,null,0,0,0
99,1,primary_proton,1,1,1
100,1,primary_proton,1,1,1
101,167,secondary_proton,1,1,1
102,1,primary_proton,1,1,1
103,0,null,0,0,0
104,0,null,0,0,0
105,0,null,0,0,0
106,0,null,0,0,0
107,0,null,0,0,0
108,19,secondary_proton,1,1,1
109,0,null,0,0,0
110,0,null,0,0,0
111,0,null,0,0,0
112,0,null,0,0,0
113,9,secondary_proton,1,0,0
114,1,primary_proton,1,1,1
115,1189,pi+,1,0,0
116,0,null,0,0,0
117,1,primary_proton,1,1,1
118,0,null,0,0,0
119,1386,e-,1,0,0
120,0,null,0,0,0
121,0,null,0,0,0
122,0,null,0,0,0
123,0,null,0,0,0
124,0,null,0,0,0
125,4,secondary_proton,1,0,0
126,1,primary_proton,1,1,1
127,0,null,0,0,0
128,0,null,0,0,0
129,0,null,0,0,0
130,0,null,0,0,0
131,1,primary_proton,1,1,1
132,0,null,0,0,0
133,1,primary_proton,1,1,1
134,11,pi+,1,1,0
135,11,secondary_proton,1,1,1
136,1,primary_proton,1,1,0
137,1,primary_proton,1,1,0
138,9,secondary_proton,1,1,1
139,0,null,0,0,0
140,0,null,0,0,0
141,1,primary_proton,1,1,1
142,0,null,0,0,0
143,0,null,0,0,0
144,0,null,0,0,0
145,0,null,0,0,0
146,0,null,0,0,0
147,0,null,0,0,0
148,1,primary_proton,1,1,1
149,1,primary_proton,1,1,1
150,0,null,0,0,0
151,12,secondary_proton,1,1,1
152,3,secondary_proton,1,0,0
153,201,secondary_proton,1,1,1
154,1,primary_proton,1,1,1
155,0,null,0,0,0
156,0,null,0,0,0
157,1,primary_proton,1,1,1
158,13,pi+,1,0,0
159,0,null,0,0,0
160,0,null,0,0,0
161,675,secondary_proton,1,0,0
162,1,primary_proton,1,1,1
163,0,null,0,0,0
164,0,null,0,0,0
165,0,null,0,0,0
166,12,secondary_proton,1,0,0
167,9,pi-,1,0,0
168,0,null,0,0,0
169,0,null,0,0,0
170,0,null,0,0,0
171,405,e-,1,0,0
172,0,null,0,0,0
173,0,null,0,0,0
174,0,null,0,0,0
175,0,null,0,0,0
176,11,secondary_proton,1,1,1
177,0,null,0,0,0
178,0,null,0,0,0
179,485,e-,1,0,0
180,12,pi+,1,1,1
181,0,null,0,0,0
182,0,null,0,0,0
183,10,secondary_proton,1,0,0
184,1,primary_proton,1,1,1
185,1,primary_proton,1,1,1
186,18,secondary_proton,1,0,0
187,0,null,0,0,0
188,0,null,0,0,0
189,1,primary_proton,1,1,1
190,688,e-,1,1,1
191,1,primary_proton,1,1,1
192,0,null,0,0,0
193,0,null,0,0,0
194,0,null,0,0,0
195,0,null,0,0,0
196,0,null,0,0,0
197,0,null,0,0,0
198,0,null,0,0,0
199,1,primary_proton,1,1,1
200,8,secondary_proton,1,1,1
201,369,e-,1,1,0
202,0,null,0,0,0
203,0,null,0,0,0
205,1378,e+,1,1,0
206,1,primary_proton,1,1,1
207,0,null,0,0,0
208,0,null,0,0,0
209,0,null,0,0,0
210,0,null,0,0,0
211,0,null,0,0,0
212,0,null,0,0,0
213,1,primary_proton,1,1,1
214,0,null,0,0,0
215,0,null,0,0,0
216,0,null,0,0,0
217,0,null,0,0,0
218,0,null,0,0,0
219,0,null,0,0,0
220,0,null,0,0,0
221,0,null,0,0,0
222,0,null,0,0,0
223,306,secondary_proton,1,1,1
224,18,secondary_proton,1,1,1
225,0,null,0,0,0
226,1,primary_proton,1,1,0
227,1,primary_proton,1,1,1
228,0,null,0,0,0
229,16,secondary_proton,1,0,0
230,1,primary_proton,1,1,1
231,0,null,0,0,0
232,354,pi+,1,0,0
233,1,primary_proton,1,1,1
234,1,primary_proton,1,1,1
235,1,primary_proton,1,1,1
236,1,primary_proton,1,1,1
237,0,null,0,0,0
238,1,primary_proton,1,1,0
239,0,null,0,0,0
240,0,null,0,0,0
241,0,null,0,0,0
242,12,pi-,1,1,1
243,0,null,0,0,0
244,0,null,0,0,0
245,0,null,0,0,0
246,0,null,0,0,0
247,1,primary_proton,1,1,1
248,1,primary_proton,1,1,0
249,0,null,0,0,0
250,8,secondary_proton,1,1,0
251,0,null,0,0,0
252,0,null,0,0,0
253,0,null,0,0,0
254,0,null,0,0,0
255,3,secondary_proton,1,1,1
256,0,null,0,0,0
257,0,null,0,0,0
258,26,pi-,1,1,0
259,0,null,0,0,0
260,0,null,0,0,0
261,0,null,0,0,0
262,0,null,0,0,0
263,0,null,0,0,0
264,1,primary_proton,1,1,1
265,1,primary_proton,1,1,1
266,0,null,0,0,0
267,1,primary_proton,1,1,1
268,0,null,0,0,0
269,5,secondary_proton,1,0,0
270,12,secondary_proton,1,1,1
271,0,null,0,0,0
272,0,null,0,0,0
273,1,primary_proton,1,1,0
274,0,null,0,0,0
275,0,null,0,0,0
276,0,null,0,0,0
277,0,null,0,0,0
278,0,null,0,0,0
279,0,null,0,0,0
280,0,null,0,0,0
281,0,null,0,0,0
282,0,null,0,0,0
283,1,primary_proton,1,1,0
284,0,null,0,0,0
285,832,secondary_proton,1,1,0
286,1,primary_proton,1,1,1
287,0,null,0,0,0
288,0,null,0,0,0
289,0,null,0,0,0
290,1461,secondary_proton,1,0,0
291,1,primary_proton,1,1,1
292,0,null,0,0,0
293,15,secondary_proton,1,1,0
294,1,primary_proton,1,1,1
295,0,null,0,0,0
296,1868,e-,1,1,1
297,1,primary_proton,1,1,1
298,0,null,0,0,0
299,9,secondary_proton,1,0,0
300,0,null,0,0,0
301,0,null,0,0,0
302,13,pi+,1,1,0
303,0,null,0,0,0
304,0,null,0,0,0
305,1,primary_proton,1,1,1
306,502,e-,1,0,0
307,0,null,0,0,0
308,0,null,0,0,0
309,10,pi+,1,0,0
310,0,null,0,0,0
311,0,null,0,0,0
312,0,null,0,0,0
313,0,null,0,0,0
314,0,null,0,0,0
315,0,null,0,0,0
316,0,null,0,0,0
317,1,primary_proton,1,1,1
318,0,null,0,0,0
319,0,null,0,0,0
320,0,null,0,0,0
321,0,null,0,0,0
322,0,null,0,0,0
323,7,secondary_proton,1,1,0
324,0,null,0,0,0
325,0,null,0,0,0
326,1,primary_proton,1,1,1
327,0,null,0,0,0
328,1,primary_proton,1,1,1
329,0,null,0,0,0
330,0,null,0,0,0
331,0,null,0,0,0
332,0,null,0,0,0
333,0,null,0,0,0
334,1,primary_proton,1,1,1
335,0,null,0,0,0
336,6,pi+,1,1,0
337,79,secondary_proton,1,1,1
338,0,null,0,0,0
339,0,null,0,0,0
340,0,null,0,0,0
341,0,null,0,0,0
342,0,null,0,0,0
