run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,180,185,3641,154,0,4,614,4778,8732,190,61,1079,12,0,0,235,1577,5249,217,43,682,10,1,0,133,1086,4670,206,75,1147,27,0,0,246,1701,5381,
2,191,229,5465,148,0,9,682,6724,9409,179,56,1247,13,0,0,215,1710,4540,164,51,628,3,0,0,128,974,4266,180,78,1248,17,0,0,261,1784,5540,
3,198,243,5668,189,2,10,721,7031,10198,185,57,1312,12,0,0,240,1806,4606,193,41,744,6,0,0,145,1129,4321,203,65,1385,20,0,0,254,1927,4862,
4,170,145,3066,138,0,9,482,4010,6521,204,37,775,10,0,1,161,1188,4263,200,24,415,4,0,0,90,733,3650,204,53,911,16,0,0,177,1361,4717,
5,200,130,2419,124,0,7,503,3383,6292,196,42,887,14,0,0,183,1322,4432,181,24,461,6,0,0,92,764,3402,197,46,1041,14,0,1,182,1481,4439,
6,170,163,3522,110,0,6,531,4502,6840,198,51,930,17,0,0,177,1373,4816,173,31,509,7,0,0,99,819,3197,211,31,1009,13,0,0,150,1414,4199,
7,155,185,4480,164,0,3,603,5590,8001,175,55,929,10,0,0,161,1330,4557,193,32,545,12,0,0,108,890,4038,189,40,1082,4,0,0,174,1489,4081,
8,178,168,3956,129,0,7,508,4946,7653,189,49,935,15,0,1,172,1361,4999,186,22,496,7,0,1,108,820,3518,173,49,953,9,0,2,205,1391,4191,
9,167,173,3852,159,0,5,617,4973,7919,220,54,1105,21,0,0,238,1638,6248,202,35,568,6,0,0,142,953,4033,203,63,1204,15,0,0,208,1693,5581,
10,184,164,4229,145,0,8,573,5303,7493,204,50,1188,16,0,0,202,1660,4765,167,44,639,9,0,1,121,981,3685,195,54,1211,17,1,0,223,1701,4772,

Total,1793,1785,40298,1460,2,68,5834,51240,79058,1940,512,10387,140,0,2,1984,14965,48475,1876,347,5687,70,1,2,1166,9149,38780,1961,554,11191,152,1,3,2080,15942,47763
Average,179,178,4029,146,0,6,583,5124,7905,194,51,1038,14,0,0,198,1496,4847,187,34,568,7,0,0,116,914,3878,196,55,1119,15,0,0,208,1594,4776
PerPrimary,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
