run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,110,4,70,2,0,0,122,308,1501,180,3,44,1,0,0,36,264,2568,179,2,23,1,0,0,20,225,2209,198,2,29,3,0,0,46,278,2549,
2,136,4,90,3,0,0,109,342,1800,197,2,46,0,1,0,48,294,2515,185,1,31,0,0,0,33,250,2353,186,1,43,2,0,0,41,273,2471,
3,106,4,59,4,0,0,74,247,1383,169,4,40,0,0,0,48,261,2388,203,2,20,0,0,0,24,249,2584,186,0,28,2,0,0,56,272,2385,
4,105,2,77,0,0,0,86,270,1297,211,3,47,2,0,0,57,320,2878,184,4,58,0,0,0,27,273,2639,186,1,46,3,0,0,63,299,2643,
5,116,2,76,5,0,0,122,321,1507,201,4,67,2,0,0,60,334,2733,214,3,39,1,0,0,26,283,2785,183,4,73,1,0,0,43,304,2499,
6,114,2,85,1,0,0,115,317,1429,187,1,51,2,0,0,54,295,2589,180,1,25,1,0,0,31,238,2362,192,2,48,3,0,0,58,303,2535,
7,131,2,100,4,0,0,113,350,1589,204,4,55,2,0,0,49,314,2574,195,1,31,0,0,0,33,260,2626,179,1,54,2,0,0,65,301,2374,
8,104,1,62,1,0,0,83,251,1490,188,2,23,1,0,0,41,255,2439,177,0,15,1,0,0,29,222,2310,183,2,29,4,0,0,41,259,2442,
9,116,3,75,3,0,0,115,312,1595,180,3,46,0,0,0,49,278,2400,189,1,31,0,0,0,28,249,2522,177,2,23,1,0,0,54,257,2295,
10,93,5,114,0,0,0,130,342,1195,180,0,36,0,0,0,53,269,2288,194,1,30,0,0,0,27,252,2494,214,2,47,1,0,0,48,312,2689,

Total,1131,29,808,23,0,0,1069,3060,14786,1897,26,455,10,1,0,495,2884,25372,1900,16,303,4,0,0,278,2501,24884,1884,17,420,22,0,0,515,2858,24882
Average,113,2,80,2,0,0,106,306,1478,189,2,45,1,0,0,49,288,2537,190,1,30,0,0,0,27,250,2488,188,1,42,2,0,0,51,285,2488
PerPrimary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
