run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons
1,41,26,492,15,0,4,78,656,1166,34,5,146,2,0,0,21,208,814,36,2,84,2,0,0,20,144,675,36,2,84,2,0,0,20,144,675,
2,33,13,486,17,0,1,91,641,778,35,20,345,6,0,1,51,458,1268,35,11,188,2,0,0,32,268,770,35,11,188,2,0,0,32,268,770,
3,41,17,252,17,0,1,69,397,1026,36,20,197,2,0,0,32,287,1065,33,6,115,0,0,0,16,170,834,33,6,115,0,0,0,16,170,834,
4,41,20,427,32,0,3,127,650,1093,49,6,171,3,0,0,46,275,843,35,8,109,2,0,0,33,187,735,35,8,109,2,0,0,33,187,735,
5,32,26,368,21,0,1,80,528,1081,40,0,73,3,0,0,23,139,860,42,3,46,1,0,0,11,103,680,42,3,46,1,0,0,11,103,680,
6,35,14,262,25,0,0,91,427,960,34,7,194,1,0,0,33,269,610,40,8,114,1,0,0,21,184,831,40,8,114,1,0,0,21,184,831,
7,40,82,1367,44,0,2,230,1765,2404,43,3,150,1,0,0,39,236,1009,41,4,90,0,0,0,20,155,949,41,4,90,0,0,0,20,155,949,
8,34,74,1484,31,0,1,212,1836,2147,39,10,232,4,0,1,53,339,831,37,5,117,1,0,0,36,196,770,37,5,117,1,0,0,36,196,770,
9,37,40,1085,35,0,0,146,1343,1592,42,13,282,3,0,0,43,383,934,36,4,99,2,0,0,28,169,697,36,4,99,2,0,0,28,169,697,
10,35,17,559,24,0,0,94,729,945,38,15,168,2,0,0,27,250,755,44,6,86,0,0,0,22,158,844,44,6,86,0,0,0,22,158,844,

Total,369,329,6782,261,0,13,1218,8972,13192,390,99,1958,27,0,2,368,2844,8989,379,57,1048,11,0,0,239,1734,7785,0,0,0,0,0,0,0,0,0
Average,36,32,678,26,0,1,121,897,1319,39,9,195,2,0,0,36,284,898,37,5,104,1,0,0,23,173,778,0,0,0,0,0,0,0,0,0
PerPrimary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
