run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,41,70,1416,50,0,3,154,1734,2584,49,8,221,7,0,0,49,334,857,34,9,126,1,0,0,26,196,756,31,11,267,9,0,0,67,385,1131,
2,40,38,958,31,0,0,134,1201,1825,39,10,270,7,0,0,66,392,1004,35,11,171,3,0,0,31,251,931,37,19,359,3,0,0,80,498,1167,
3,26,39,710,18,0,1,101,895,1157,42,7,203,4,0,0,29,285,893,37,3,125,2,0,0,19,186,723,46,17,249,3,0,0,35,350,959,
4,24,31,686,33,0,1,72,847,1232,46,3,114,4,0,0,20,187,884,39,3,71,2,0,0,14,129,761,39,3,116,4,0,0,26,188,890,
5,29,40,733,27,0,1,90,920,1360,46,10,115,1,0,0,28,200,1182,26,9,48,1,0,0,12,96,532,41,6,69,1,0,0,27,144,807,
6,41,32,793,24,0,0,95,985,1080,38,6,294,2,0,0,35,375,830,32,6,129,0,0,0,30,197,655,41,7,212,4,0,0,32,296,867,
7,46,51,966,40,0,0,159,1262,2275,48,7,292,2,1,0,40,390,953,42,11,126,2,0,0,18,199,880,39,12,237,5,0,0,42,335,1127,
8,39,36,503,28,0,2,112,720,1263,42,6,123,0,0,0,22,193,827,42,5,109,1,0,0,17,174,822,34,8,214,1,0,0,47,304,801,
9,43,40,766,24,0,1,135,1009,1739,42,11,260,4,0,0,58,375,1278,40,8,107,1,0,0,28,184,986,30,7,244,3,0,0,43,327,660,
10,31,7,242,18,0,0,82,380,779,31,14,270,0,0,0,42,357,844,27,6,149,0,0,0,24,206,898,41,13,297,2,0,0,34,387,975,

Total,360,384,7773,293,0,9,1134,9953,15294,423,82,2162,31,1,0,389,3088,9552,354,71,1161,13,0,0,219,1818,7944,379,103,2264,35,0,0,433,3214,9384
Average,36,38,777,29,0,0,113,995,1529,42,8,216,3,0,0,38,308,955,35,7,116,1,0,0,21,181,794,37,10,226,3,0,0,43,321,938
PerPrimary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
